pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 130-150 deg	chi2/ndf: 576.003711
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 17-31 deg	chi2/ndf: 142.396682
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 17-31 deg	chi2/ndf: 315.395271
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 32-44 deg	chi2/ndf: 274.989628
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 32-44 deg	chi2/ndf: 166.509444
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 44-117 deg	chi2/ndf: 3616.566832
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 44-117 deg	chi2/ndf: 3090.250936
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 117-128 deg	chi2/ndf: 281.145740
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 117-128 deg	chi2/ndf: 106.956441
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 130-150 deg	chi2/ndf: 82.660594
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 130-150 deg	chi2/ndf: 85.401090
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 17-31 deg	chi2/ndf: 619.930567
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 17-31 deg	chi2/ndf: 555.765807
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 32-44 deg	chi2/ndf: 207.572206
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 32-44 deg	chi2/ndf: 149.480049
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 44-117 deg	chi2/ndf: 4357.031509
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 44-117 deg	chi2/ndf: 3780.342389
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 117-128 deg	chi2/ndf: 193.432880
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 117-128 deg	chi2/ndf: 33.494780
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 130-150 deg	chi2/ndf: 63.000235
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 130-150 deg	chi2/ndf: 52.214095
-----------------------------------------------------------------
