tcid,theta,phi
350,1.2688634951020272,-2.3558049222172865
351,1.439121821533981,-2.3557792775798876
352,1.6149482408292202,-2.3560821622346424
353,1.7883075164008315,-2.355837991079452
354,1.953883198138957,-2.35580450966075
355,2.107709493598778,-2.355765359754234
356,2.212776959487378,-2.3557529851818857
357,0.6072114858891046,-2.181165939613153
358,0.7105375209348004,-2.1813197176979036
359,0.8283986314951851,-2.1812965406556355
360,0.9614865934617024,-2.1812735912954655
361,1.1086974314166564,-2.1812542237139096
362,1.268881460373802,-2.181304695696858
363,1.4391293416947692,-2.1812845028892363
364,1.6149476471760553,-2.1815596180720727
365,1.7882929624579003,-2.181354796639008
366,1.953861140072275,-2.1813035635799904
367,2.1076735995917164,-2.1812757599494415
368,2.212745799437499,-2.1812281978335046
369,0.6072134566179597,-2.0066548706440717
370,0.7105292768035922,-2.0068242616573
371,0.8283962535708946,-2.006781837668356
372,0.9615062847403156,-2.006742247814444
373,1.1087136085253892,-2.0067920958879237
374,1.2689092031875884,-2.006803409683801
375,1.4391358503638714,-2.006796293385949
376,1.6149492275376771,-2.007045324698141
377,1.7882846466329307,-2.0069014768377773
378,1.9538368776480561,-2.006830904512224
379,2.1076690656120003,-2.0067672240293404
380,2.2127536201345106,-2.006737581318737
381,0.607224862630289,-1.8322150681237919
382,0.7105309728821119,-1.8322615749775268
383,0.8283939792297402,-1.8322683054305784
384,0.9615171297632858,-1.8322863113859413
385,1.1087235981331123,-1.8323419054170298
386,1.2689052625547215,-1.8323592634323065
387,1.4391442825962988,-1.8323893812987704
388,1.6149485913332453,-1.8325734711662252
389,1.7882782102474881,-1.8324126713057287
390,1.9538436751009052,-1.8323750182435798
391,2.1076639180141954,-1.832302016212332
392,2.2127583319258437,-1.832237507845136
393,0.607204187223545,-1.6576550026640668
394,0.7105343090248877,-1.6577312353038887
395,0.8284104794590365,-1.657785834013982
396,0.9615212470524722,-1.6578064799980061
397,1.1087161524857647,-1.6578754273815548
398,1.2689165745631046,-1.6579372023699515
399,1.439138631148154,-1.6577801376320291
400,1.6149501700818787,-1.658019036651954
401,1.7882797001541626,-1.6579750727751854
402,1.9538323097136456,-1.6579291243091097
403,2.107646702349207,-1.6578621330915113
404,2.2127411579936456,-1.6576965991946215
405,0.607138810894386,-1.483054081344218
406,0.710488671195086,-1.4831441374804708
407,0.828295172707327,-1.4831578868564539
408,0.9613642424468206,-1.4831603377730156
409,1.1085844750422928,-1.4831601346153445
410,1.2687867688640808,-1.4832178886405833
411,1.4390799310220994,-1.4831477568138838
412,1.6149493812962037,-1.4834081107372519
413,1.788374323668025,-1.4832841081694565
414,1.9539691550856255,-1.4832440322602176
415,2.107812874833492,-1.4831700058677504
416,2.212864825210009,-1.483132597854684
417,0.6071471318878299,-1.308503278164706
418,0.7105061648001133,-1.3086097872918327
419,0.8283335453310461,-1.3085878836928215
420,0.961407113107507,-1.3085793041632916
421,1.1085827374703152,-1.3086130401512088
422,1.2688036284794986,-1.3086101822128826
423,1.439087478897786,-1.3086339957627457
424,1.614948577693321,-1.3088548018604642
425,1.7883697267632481,-1.3086608699294744
426,1.9539666897824262,-1.3086556445966706
427,2.1077863082688473,-1.3085966767088033
428,2.2128461050252106,-1.3085352480727748
429,0.6071620697105257,-1.1339795115539342
430,0.7105093033648373,-1.1340566461877786
431,0.8283308415282646,-1.134035990981948
432,0.9614081817864816,-1.1340730929410032
433,1.1086211236554178,-1.134062399557803
434,1.2688135581144897,-1.1340555388200124
435,1.4390974820144813,-1.1340555543378674
436,1.614948560186925,-1.1343078463227725
437,1.7883531119976452,-1.1341084783177793
438,1.9539288158972545,-1.1340887308913754
439,2.10777155436781,-1.1340100088297576
440,2.212842615310627,-1.1339965342237655
441,0.6071728823345612,-0.9594534609030905
442,0.7105200847050595,-0.9595556850427758
443,0.8283524698458067,-0.9595125646177218
444,0.9614496054295099,-0.9595155651155581
445,1.1086386693387882,-0.9594879952183811
446,1.2688437423154821,-0.9594850406837883
447,1.4391101093899343,-0.9595349904825372
448,1.61494965757726,-0.9598215377960565
449,1.7883325910024668,-0.959560264858061
450,1.9539202402406395,-0.9595471788782055
451,2.1077541297726534,-0.9595091500115674
452,2.212805969864766,-0.9594715643723803
453,0.6071867402596526,-0.7849385238338346
454,0.7105355462162538,-0.7850277011777396
455,0.8283635533339638,-0.7849977486787456
456,0.9614698790854608,-0.7849354499273647
457,1.1086743923794733,-0.7849797013740608
458,1.2688634951020272,-0.7850085954223899
459,1.439121821533981,-0.7849829507849908
460,1.6149482408292202,-0.7852858354397456
461,1.7883075164008315,-0.7850416642845552
462,1.953883198138957,-0.7850081828658536
463,2.107709493598778,-0.7849690329593371
464,2.212776959487378,-0.7849566583869889
465,0.6072114858891046,-0.6103696128182566
466,0.7105375209348004,-0.610523390903007
467,0.8283986314951851,-0.610500213860739
468,0.9614865934617024,-0.6104772645005689
469,1.1086974314166564,-0.6104578969190129
470,1.268881460373802,-0.6105083689019613
471,1.4391293416947692,-0.6104881760943395
472,1.6149476471760553,-0.6107632912771759
473,1.7882929624579003,-0.6105584698441113
474,1.953861140072275,-0.6105072367850937
475,2.1076735995917164,-0.610479433154545
476,2.212745799437499,-0.6104318710386082
477,0.6072134566179597,-0.435858543849175
478,0.7105292768035922,-0.43602793486240365
479,0.8283962535708946,-0.4359855108734593
480,0.9615062847403156,-0.4359459210195476
481,1.1087136085253892,-0.43599576909302723
482,1.2689092031875884,-0.43600708288890455
483,1.4391358503638714,-0.43599996659105206
484,1.6149492275376771,-0.43624899790324423
485,1.7882846466329307,-0.43610515004288064
486,1.9538368776480561,-0.4360345777173274
487,2.1076690656120003,-0.43597089723444393
488,2.2127536201345106,-0.4359412545238402
489,0.607224862630289,-0.26141874132889525
490,0.7105309728821119,-0.2614652481826303
491,0.8283939792297402,-0.26147197863568167
492,0.9615171297632858,-0.2614899845910446
493,1.1087235981331123,-0.2615455786221333
494,1.2689052625547215,-0.2615629366374099
495,1.4391442825962988,-0.2615930545038738
496,1.6149485913332453,-0.26177714437132865
497,1.7882782102474881,-0.2616163445108321
498,1.9538436751009052,-0.26157869144868323
499,2.1076639180141954,-0.26150568941743546
500,2.2127583319258437,-0.2614411810502395
501,0.607204187223545,-0.08685867586917026
502,0.7105343090248877,-0.08693490850899199
503,0.8284104794590365,-0.0869895072190854
504,0.9615212470524722,-0.08701015320310954
505,1.1087161524857647,-0.08707910058665826
506,1.2689165745631046,-0.08714087557505476
507,1.439138631148154,-0.08698381083713262
508,1.6149501700818787,-0.08722270985705742
509,1.7882797001541626,-0.08717874598028888
510,1.9538323097136456,-0.08713279751421306
511,2.107646702349207,-0.0870658062966147
512,2.2127411579936456,-0.08690027239972485
513,2.5617813625922317,0.3160031636728028
514,2.355443867377095,0.308590697375345
515,2.35349283256797,0.12075998771563469
516,2.562171955474465,0.11937548857065755
517,2.561646389464055,0.7071110039274293
518,2.356650556215934,0.7037852839676368
519,2.3510831141520954,0.5125055003383607
520,2.5615795365240266,0.512306804924997
521,2.5606305071515605,1.0922516378126308
522,2.3566032717553287,1.0999751751415012
523,2.350973939633824,0.8992684797170346
524,2.5616825458975416,0.9033943003561847
525,2.5615179819683744,1.4608450703250777
526,2.3546916382297476,1.4802365366899448
527,2.3518297049279018,1.2799495361648021
528,2.5597290363009852,1.276039312121764
529,2.5617813625922317,1.8867994904676995
530,2.355443867377095,1.8793870241702415
531,2.35349283256797,1.6915563145105312
532,2.562171955474465,1.6901718153655543
