23   18.0   90.0  0.0  1  -0.000914   0.45584100E-02  -0.15461900E-04   0.15273700E-06  -0.75242798E-09   0.11251100E-11   305.361  -0.80000000E-08
23   18.0   90.0  0.0  0   0.009553   0.35896000E-02   0.60101400E-05  -0.31438400E-07  -0.85716301E-10   0.27047299E-12   304.042  -0.80000000E-08
24   18.0   90.0  0.0  1  -0.001177   0.45732600E-02  -0.15161400E-04   0.13996300E-06  -0.65405402E-09   0.93346997E-12   318.987  -0.50000000E-08
24   18.0   90.0  0.0  0   0.005082   0.39013200E-02   0.11686100E-05  -0.85222100E-08  -0.97840500E-10   0.20682201E-12   366.669    0.0000000    
25   18.0   90.0  0.0  1   0.005007   0.39209800E-02   0.90783500E-06  -0.13171600E-07  -0.32759102E-10   0.56983101E-13   291.624  -0.10000000E-07
25   18.0   90.0  0.0  0  -0.000543   0.44735000E-02  -0.11778500E-04   0.98332497E-07  -0.45941199E-09   0.64179199E-12   336.494  -0.10000000E-08
26   18.0   90.0  0.0  1   0.007745   0.36742900E-02   0.55456800E-05  -0.33121799E-07  -0.85037903E-10   0.28206201E-12   322.062  -0.55300000E-06
26   18.0   90.0  0.0  0   0.009436   0.35659200E-02   0.67627200E-05  -0.33677399E-07  -0.99954102E-10   0.31232199E-12   269.337  -0.10000000E-08
27   18.0   90.0  0.0  1  -0.000483   0.45253300E-02  -0.15099000E-04   0.15555200E-06  -0.79535999E-09   0.12397300E-11   272.484  -0.66310000E-05
27   18.0   90.0  0.0  0  -0.000726   0.45202200E-02  -0.14170000E-04   0.13845000E-06  -0.69159497E-09   0.10388199E-11   306.950  -0.13000000E-07
28   18.0   90.0  0.0  1  -0.001314   0.45904200E-02  -0.15689500E-04   0.14667000E-06  -0.68873199E-09   0.99210602E-12   312.667  -0.11000000E-07
28   18.0   90.0  0.0  0   0.007050   0.37523800E-02   0.38164300E-05  -0.25824499E-07  -0.51507999E-10   0.16348700E-12   363.530  -0.38900000E-06
29   18.0   90.0  0.0  1   0.011115   0.35664500E-02   0.52913500E-05  -0.26512600E-07  -0.62211399E-10   0.17987399E-12   375.019  -0.99730000E-04
29   18.0   90.0  0.0  0   0.009407   0.36428200E-02   0.46777400E-05  -0.26438900E-07  -0.56208000E-10   0.17500501E-12   331.627  -0.28000000E-07
30   18.0   90.0  0.0  1  -0.001557   0.45938600E-02  -0.14706900E-04   0.12245200E-06  -0.52763098E-09   0.70207800E-12   338.793  -0.68000000E-07
30   18.0   90.0  0.0  0   0.010997   0.35782400E-02   0.50321300E-05  -0.25706699E-07  -0.61164101E-10   0.18714700E-12   305.539  -0.20000000E-08
31   18.0   90.0  0.0  1  -0.001743   0.46003700E-02  -0.14298900E-04   0.11160600E-06  -0.45836301E-09   0.58389301E-12   353.608  -0.68400000E-06
31   18.0   90.0  0.0  0  -0.000923   0.45000600E-02  -0.11661500E-04   0.86791801E-07  -0.36907901E-09   0.47593899E-12   363.532    0.0000000    
32   18.0   90.0  0.0  1  -0.000552   0.44839400E-02  -0.12786300E-04   0.11901100E-06  -0.58675299E-09   0.86052100E-12   318.118  -0.80000000E-08
32   18.0   90.0  0.0  0   0.010260   0.35668300E-02   0.59829900E-05  -0.30088499E-07  -0.81335602E-10   0.25276700E-12   285.488  -0.40000000E-08
33   18.0   90.0  0.0  1  -0.000944   0.45436900E-02  -0.14225700E-04   0.12831599E-06  -0.59651099E-09   0.84314301E-12   323.449  -0.13600000E-06
33   18.0   90.0  0.0  0  -0.000852   0.45253900E-02  -0.13562400E-04   0.12056700E-06  -0.56360199E-09   0.79779700E-12   324.320  -0.35000000E-07
34   18.0   90.0  0.0  1  -0.002106   0.46771100E-02  -0.17555901E-04   0.15793401E-06  -0.70542700E-09   0.99792798E-12   299.010  -0.94430000E-04
34   18.0   90.0  0.0  0  -0.000893   0.45160900E-02  -0.12818200E-04   0.10687200E-06  -0.48176901E-09   0.65739398E-12   339.264  -0.36000000E-07
35   18.0   90.0  0.0  1  -0.001291   0.45612300E-02  -0.13659900E-04   0.10985100E-06  -0.46899799E-09   0.61405200E-12   349.689  -0.40000000E-08
35   18.0   90.0  0.0  0  -0.001497   0.45777500E-02  -0.13908700E-04   0.11119100E-06  -0.47414801E-09   0.62343597E-12   347.798  -0.11281000E-04
36   18.0   90.0  0.0  1   0.007252   0.37929700E-02   0.23380300E-05  -0.18300800E-07  -0.33210701E-10   0.94117500E-13   374.157  -0.40000000E-08
36   18.0   90.0  0.0  0  -0.001069   0.45119200E-02  -0.11874200E-04   0.87835701E-07  -0.36784601E-09   0.46843601E-12   365.755  -0.71400000E-06
37   18.0   90.0  0.0  1  -0.002043   0.46214800E-02  -0.14421700E-04   0.10771700E-06  -0.42035300E-09   0.51183301E-12   369.312  -0.10900000E-06
